['cotacaoCompra', 'cotacaoVenda', 'dataHoraCotacao']
4.891;4.8916;2024-01-02
4.9206;4.9212;2024-01-03
4.9182;4.9188;2024-01-04
4.8893;4.8899;2024-01-05
4.8844;4.885;2024-01-08
4.8931;4.8937;2024-01-09
4.8895;4.8901;2024-01-10
4.8788;4.8794;2024-01-11
4.8537;4.8543;2024-01-12
4.8759;4.8765;2024-01-15
4.9032;4.9038;2024-01-16
4.934;4.9346;2024-01-17
4.9397;4.9403;2024-01-18
4.9217;4.9223;2024-01-19
4.9484;4.949;2024-01-22
4.9709;4.9715;2024-01-23
4.9186;4.9192;2024-01-24
4.9226;4.9232;2024-01-25
4.9119;4.9125;2024-01-26
4.9219;4.9225;2024-01-29
4.9632;4.9638;2024-01-30
4.9529;4.9535;2024-01-31
4.9344;4.935;2024-02-01
4.9465;4.9471;2024-02-02
5.0047;5.0053;2024-02-05
4.9681;4.9687;2024-02-06
4.9602;4.9608;2024-02-07
4.9798;4.9804;2024-02-08
4.9711;4.9717;2024-02-09
4.9717;4.9723;2024-02-14
4.9704;4.971;2024-02-15
4.9755;4.9761;2024-02-16
4.9579;4.9585;2024-02-19
4.9402;4.9408;2024-02-20
4.9297;4.9303;2024-02-21
4.9413;4.9419;2024-02-22
4.9845;4.9851;2024-02-23
4.9813;4.9819;2024-02-26
4.9569;4.9575;2024-02-27
4.9551;4.9557;2024-02-28
4.9827;4.9833;2024-02-29
4.959;4.9596;2024-03-01
4.9469;4.9475;2024-03-04
4.9482;4.9488;2024-03-05
4.9392;4.9398;2024-03-06
4.9358;4.9364;2024-03-07
4.9745;4.9751;2024-03-08
4.9771;4.9777;2024-03-11
4.9807;4.9813;2024-03-12
4.9797;4.9803;2024-03-13
4.9762;4.9768;2024-03-14
4.9931;4.9937;2024-03-15
5.0118;5.0124;2024-03-18
5.0346;5.0352;2024-03-19
5.0114;5.012;2024-03-20
4.9801;4.9807;2024-03-21
4.9891;4.9897;2024-03-22
4.9863;4.9869;2024-03-25
4.9864;4.987;2024-03-26
4.985;4.9856;2024-03-27
4.9956;4.9962;2024-03-28
5.0526;5.0532;2024-04-01
5.0469;5.0476;2024-04-02
5.0718;5.0724;2024-04-03
5.0231;5.0237;2024-04-04
5.0514;5.052;2024-04-05
5.0415;5.0421;2024-04-08
5.0074;5.008;2024-04-09
5.0648;5.0654;2024-04-10
5.0759;5.0765;2024-04-11
5.1358;5.1364;2024-04-12
5.174;5.1746;2024-04-15
5.2628;5.2635;2024-04-16
5.2463;5.2469;2024-04-17
5.2506;5.2512;2024-04-18
5.2263;5.2269;2024-04-19
5.2037;5.2043;2024-04-22
5.162;5.1626;2024-04-23
5.1586;5.1592;2024-04-24
5.1673;5.1679;2024-04-25
5.1178;5.1184;2024-04-26
5.1149;5.1155;2024-04-29
5.1712;5.1718;2024-04-30
5.1178;5.1184;2024-05-02
5.0662;5.0668;2024-05-03
5.0721;5.0727;2024-05-06
5.0604;5.061;2024-05-07
5.0881;5.0887;2024-05-08
5.1571;5.1577;2024-05-09
5.1458;5.1464;2024-05-10
5.1406;5.1412;2024-05-13
5.135;5.1356;2024-05-14
5.1417;5.1423;2024-05-15
5.1264;5.127;2024-05-16
5.1151;5.1157;2024-05-17
5.1079;5.1085;2024-05-20
5.1031;5.1037;2024-05-21
5.1496;5.1502;2024-05-22
5.1437;5.1443;2024-05-23
5.1502;5.1508;2024-05-24
5.1698;5.1704;2024-05-27
5.1532;5.1538;2024-05-28
5.1966;5.1972;2024-05-29
5.241;5.2416;2024-05-31
5.2367;5.2373;2024-06-03
5.2681;5.2687;2024-06-04
5.2835;5.2841;2024-06-05
5.2675;5.2681;2024-06-06
5.2796;5.2802;2024-06-07
5.366;5.3666;2024-06-10
5.3519;5.3524;2024-06-11
5.3885;5.3891;2024-06-12
5.3968;5.3974;2024-06-13
5.3624;5.363;2024-06-14
5.4124;5.413;2024-06-17
5.4068;5.4074;2024-06-18
5.4641;5.4647;2024-06-19
5.4248;5.4254;2024-06-20
5.441;5.4416;2024-06-21
5.3994;5.4;2024-06-24
5.4283;5.429;2024-06-25
5.5091;5.5097;2024-06-26
5.5223;5.5229;2024-06-27
5.5583;5.5589;2024-06-28
5.5887;5.5893;2024-07-01
5.6671;5.6677;2024-07-02
5.5857;5.5863;2024-07-03
5.4833;5.4839;2024-07-04
5.4964;5.497;2024-07-05
5.4714;5.472;2024-07-08
5.4381;5.4387;2024-07-09
5.3961;5.3967;2024-07-10
5.4094;5.41;2024-07-11
5.4523;5.4529;2024-07-12
5.4557;5.4563;2024-07-15
5.4268;5.4274;2024-07-16
5.4664;5.467;2024-07-17
5.542;5.5426;2024-07-18
5.5537;5.5543;2024-07-19
5.5592;5.5598;2024-07-22
5.5801;5.5807;2024-07-23
5.634;5.6346;2024-07-24
5.6396;5.6402;2024-07-25
5.6459;5.6465;2024-07-26
5.6473;5.6479;2024-07-29
5.6526;5.6532;2024-07-30
5.6615;5.6621;2024-07-31
5.6675;5.6681;2024-08-01
5.736;5.7366;2024-08-02
5.764;5.7646;2024-08-05
5.6522;5.6528;2024-08-06
5.6087;5.6093;2024-08-07
5.6166;5.6172;2024-08-08
5.5109;5.5115;2024-08-09
5.4905;5.4911;2024-08-12
5.4869;5.4875;2024-08-13
5.4496;5.4502;2024-08-14
5.4645;5.4651;2024-08-15
5.4626;5.4632;2024-08-16
5.4231;5.4237;2024-08-19
5.4541;5.4547;2024-08-20
5.4701;5.4707;2024-08-21
5.5518;5.5524;2024-08-22
5.5257;5.5263;2024-08-23
5.4915;5.4921;2024-08-26
5.4963;5.4969;2024-08-27
5.5309;5.5315;2024-08-28
5.6352;5.6358;2024-08-29
5.6556;5.6562;2024-08-30
5.6224;5.623;2024-09-02
5.6218;5.6224;2024-09-03
5.6353;5.6359;2024-09-04
5.6043;5.6049;2024-09-05
5.5696;5.5702;2024-09-06
5.6091;5.6097;2024-09-09
5.6248;5.6254;2024-09-10
5.6381;5.6387;2024-09-11
5.6548;5.6554;2024-09-12
5.5711;5.5717;2024-09-13
5.5201;5.5207;2024-09-16
5.5004;5.501;2024-09-17
5.4761;5.4767;2024-09-18
5.4183;5.4189;2024-09-19
5.4769;5.4775;2024-09-20
5.544;5.5446;2024-09-23
5.4696;5.4702;2024-09-24
5.473;5.4736;2024-09-25
5.4406;5.4412;2024-09-26
5.4425;5.4431;2024-09-27
5.4475;5.4481;2024-09-30
5.4515;5.4521;2024-10-01
5.4299;5.4305;2024-10-02
5.4844;5.485;2024-10-03
5.468;5.4686;2024-10-04
5.462;5.4626;2024-10-07
5.5191;5.5197;2024-10-08
5.5731;5.5737;2024-10-09
5.5813;5.5819;2024-10-10
5.6257;5.6263;2024-10-11
5.6039;5.6045;2024-10-14
5.6372;5.6378;2024-10-15
5.6743;5.6749;2024-10-16
5.6752;5.6758;2024-10-17
5.6666;5.6672;2024-10-18
5.7062;5.7068;2024-10-21
5.6952;5.6958;2024-10-22
5.7143;5.7149;2024-10-23
5.7081;5.7087;2024-10-24
5.6963;5.6969;2024-10-25
5.6982;5.6988;2024-10-28
5.7134;5.714;2024-10-29
5.7795;5.7801;2024-10-30
5.7773;5.7779;2024-10-31
5.8067;5.8073;2024-11-01
5.7892;5.7898;2024-11-04
5.784;5.7846;2024-11-05
5.7642;5.7648;2024-11-06
5.6618;5.6624;2024-11-07
5.7642;5.7648;2024-11-08
5.7974;5.798;2024-11-11
5.7688;5.7694;2024-11-12
5.7707;5.7713;2024-11-13
5.7879;5.7885;2024-11-14
5.7597;5.7603;2024-11-18
5.7737;5.7743;2024-11-19
5.8167;5.8173;2024-11-21
5.8118;5.8124;2024-11-22
5.7996;5.8002;2024-11-25
5.7984;5.799;2024-11-26
5.8285;5.8291;2024-11-27
5.9865;5.9871;2024-11-28
6.0529;6.0535;2024-11-29
6.0628;6.0634;2024-12-02
6.0701;6.0707;2024-12-03
6.0575;6.0581;2024-12-04
5.9843;5.9849;2024-12-05
6.0287;6.0293;2024-12-06
6.0564;6.057;2024-12-09
6.0523;6.0529;2024-12-10
6.0314;6.032;2024-12-11
5.9402;5.9408;2024-12-12
6.0394;6.04;2024-12-13
6.0504;6.0509;2024-12-16
6.1679;6.1685;2024-12-17
6.1618;6.1624;2024-12-18
6.1835;6.1841;2024-12-19
6.0774;6.078;2024-12-20
6.1606;6.1612;2024-12-23
6.1527;6.1541;2024-12-24
6.165;6.1656;2024-12-26
6.1985;6.1991;2024-12-27
6.1917;6.1923;2024-12-30
6.1917;6.1923;2024-12-31
