['cotacaoCompra', 'cotacaoVenda', 'dataHoraCotacao']
6.208;6.2086;2025-01-02
6.1557;6.1563;2025-01-03
6.1113;6.1119;2025-01-06
6.0735;6.0741;2025-01-07
6.1315;6.1321;2025-01-08
6.089;6.0896;2025-01-09
6.0959;6.0965;2025-01-10
6.1073;6.1079;2025-01-13
6.0665;6.0671;2025-01-14
6.0371;6.0377;2025-01-15
6.0316;6.0322;2025-01-16
6.0603;6.0609;2025-01-17
6.0492;6.0498;2025-01-20
6.0434;6.044;2025-01-21
5.9668;5.9674;2025-01-22
5.9393;5.9399;2025-01-23
5.8919;5.8925;2025-01-24
5.9266;5.9272;2025-01-27
5.8924;5.893;2025-01-28
5.859;5.8596;2025-01-29
5.9;5.9006;2025-01-30
5.8295;5.8301;2025-01-31
5.8681;5.8687;2025-02-03
5.7921;5.7927;2025-02-04
5.7991;5.7997;2025-02-05
5.785;5.7856;2025-02-06
5.7551;5.7557;2025-02-07
5.7802;5.7808;2025-02-10
5.7782;5.7788;2025-02-11
5.7705;5.7711;2025-02-12
5.7782;5.7788;2025-02-13
5.7277;5.7283;2025-02-14
5.7099;5.7105;2025-02-17
5.6973;5.6979;2025-02-18
5.7081;5.7087;2025-02-19
5.7013;5.7019;2025-02-20
5.7021;5.7027;2025-02-21
5.7252;5.7258;2025-02-24
5.7773;5.7779;2025-02-25
5.7751;5.7757;2025-02-26
5.8222;5.8228;2025-02-27
5.8482;5.8488;2025-02-28
5.7908;5.7914;2025-03-05
5.7483;5.7489;2025-03-06
5.7682;5.7688;2025-03-07
5.7924;5.793;2025-03-10
5.8341;5.8346;2025-03-11
5.8262;5.8268;2025-03-12
5.8125;5.8131;2025-03-13
5.7413;5.7419;2025-03-14
5.7076;5.7082;2025-03-17
5.6846;5.6852;2025-03-18
5.6651;5.6657;2025-03-19
5.6622;5.6628;2025-03-20
5.7235;5.7241;2025-03-21
5.7397;5.7403;2025-03-24
5.6986;5.6992;2025-03-25
5.7292;5.7298;2025-03-26
5.7468;5.7474;2025-03-27
5.7654;5.766;2025-03-28
5.7416;5.7422;2025-03-31
5.7045;5.7051;2025-04-01
5.6918;5.6923;2025-04-02
5.6062;5.6067;2025-04-03
5.7771;5.7777;2025-04-04
5.8871;5.8877;2025-04-07
5.9362;5.9368;2025-04-08
6.0599;6.0605;2025-04-09
5.9109;5.9115;2025-04-10
5.8731;5.8737;2025-04-11
5.8419;5.8425;2025-04-14
5.8701;5.8707;2025-04-15
5.8802;5.8808;2025-04-16
5.8553;5.8559;2025-04-17
5.749;5.7496;2025-04-22
5.6874;5.688;2025-04-23
5.6874;5.688;2025-04-23
5.6732;5.6738;2025-04-24
5.684;5.6846;2025-04-25
5.6675;5.6681;2025-04-28
5.6461;5.6467;2025-04-29
5.6602;5.6608;2025-04-30
5.6388;5.6394;2025-05-02
5.6514;5.652;2025-05-05
5.7204;5.721;2025-05-06
5.7368;5.7375;2025-05-07
5.6854;5.686;2025-05-08
5.6505;5.6511;2025-05-09
5.6816;5.6822;2025-05-12
5.6256;5.6262;2025-05-13
5.6094;5.61;2025-05-14
5.6322;5.6328;2025-05-15
5.6919;5.6925;2025-05-16
5.6585;5.6591;2025-05-19
5.6614;5.662;2025-05-20
5.6565;5.6571;2025-05-21
5.6384;5.639;2025-05-22
5.6926;5.6932;2025-05-23
5.6613;5.6619;2025-05-26
5.6533;5.6539;2025-05-27
5.693;5.6936;2025-05-28
5.6553;5.6559;2025-05-29
5.7081;5.7087;2025-05-30
5.6931;5.6937;2025-06-02
5.6688;5.6694;2025-06-03
5.6326;5.6332;2025-06-04
5.5963;5.5969;2025-06-05
5.5941;5.5947;2025-06-06
5.5754;5.576;2025-06-09
5.5551;5.5557;2025-06-10
5.5384;5.539;2025-06-11
5.5382;5.5388;2025-06-12
5.5646;5.5652;2025-06-13
5.5117;5.5123;2025-06-16
5.4767;5.4773;2025-06-17
5.4873;5.4879;2025-06-18
5.4951;5.4957;2025-06-20
5.5207;5.5213;2025-06-23
5.4932;5.4938;2025-06-24
5.5421;5.5427;2025-06-25
5.5139;5.5145;2025-06-26
5.4753;5.4759;2025-06-27
5.4565;5.4571;2025-06-30
5.4505;5.4511;2025-07-01
5.4506;5.4512;2025-07-02
5.4202;5.4208;2025-07-03
5.4084;5.409;2025-07-04
5.4546;5.4552;2025-07-07
5.4565;5.4571;2025-07-08
5.462;5.4626;2025-07-09
